workerid	byWords	condition	item	response	sentence	slide_number
0	[]	filler	filler	69	The firefighter's hunch that no nearby buildings would be safe from the massive fire was communicated to her chief.	42
0	[]	0	16	73	The inkling that no teacher sparked any inspiration in the students has ever concerned the parents.	43
0	[]	filler	filler	69	The courses that no college student wanted to attend were often taught by inexperienced teaching assistants.	44
1	[]	filler	filler	69	Remember to keep your fingers on the e and i keys and provide an answer quickly.	6
1	[]	filler	filler	69	The minivans that no families wanted to purchase were redesigned to be more affordable and attractive.	8
1	[]	filler	filler	69	The pilot's estimation that there would be no turbulence during the flight was communicated to her passengers.	9
1	[]	2	11	69	No presumption that the critics recommended the best-selling novel has ever been proven.	10
1	[]	filler	filler	73	The students that has good grades often feel that they should had get into a good school.	11
1	[]	0	4	69	The disclosure that no teacher punished the students for cheating has ever been proven true	12
1	[]	filler	filler	69	No blogger's hunch that a main character from the hit show would die next season was given much consideration by the show's producers.	13
1	[]	filler	filler	73	The nuclear physicists that were hired to work on the reactor are allowed to knows details about the plant's projects	14
1	[]	filler	filler	73	The books that the elementary school board approved for class were ever banned from reading lists nationwide.	15
1	[]	filler	filler	73	The papers that the students wants to write for the introductory course have no errors at all.	16
1	[]	0	10	None	The revelation that no comments caused any bitterness toward the media has ever been substantiated.	18
1	[]	filler	filler	73	The soccer players that could won the tournament were very upset with their coach.	19
1	[]	filler	filler	73	The secretary's unsettlingly premonition that no raises would be given this year was mentioned to his coworkers during the lunch break.	21
1	[]	filler	filler	73	Most poets that are considered to be extremely famous has written  poems about current events. 	22
1	[]	filler	filler	69	The mayor's argument that no local residents would experience noise from the airport was discussed in a city council meeting.	25
1	[]	2	13	69	No realization that the librarians helped the students has ever made the rounds.	26
1	[]	filler	filler	69	The professor's speculation that no practical counter-examples would turn up in the article was justified.	27
1	[]	filler	filler	69	The lectures that no students wanted to attend were often taught by very boring professors.	28
1	[]	2	16	69	No inkling that the customers expressed any optimism for a full refund has ever been reported in the newspaper.	29
1	[]	filler	filler	69	The programmer's opinion that no software would sell without attractive packaging was taken seriously by the retailers.	30
1	[]	0	14	69	The assertion that no medic rescued the victim has never caused outrage.	31
1	[]	filler	filler	69	The statistician's conclusion that no fish stocks in the U.S. would be overfished until 2012 was welcome in the small port town.	32
1	[]	filler	filler	69	The secretary's intuition that no emails would reach the employees during the system upgrade was revealed in his weekly meeting with the boss.	33
1	[]	2	19	73	No undefined that the actors were hurt in the dangerous stunt has ever been proven to be bogus.	34
1	[]	filler	filler	69	The secret documents that no spy could find were hidden in an underground vault.	35
1	[]	filler	filler	69	The flowers that no customer wanted to buy were donated to the nearby funeral home.	36
1	[]	filler	filler	69	The astronomer's contention that no telescope would have enough power to capture the distant galaxy was debated at the national space conference.	37
1	[]	filler	filler	69	No historian's conjecture that a consensus would emerge on how to ration food fairly was supported by historical data.	38
1	[]	filler	filler	73	The companies that needs young business often advertise in the magazines that many men enjoys reading.	39
1	[]	filler	filler	69	The sailor's judgment that no ship would reach land before the storm was mentioned in the log that she kept daily.	40
1	[]	0	0	73	The report that no employee was kind to the rude customers has ever been reported to the manager.	41
1	[]	filler	filler	73	The electrician's estimation that no building on the block would need to be rewired was made clear to her boss.	42
1	[]	filler	filler	69	The nurse's hunch that no abnormalities would be found in the brain scan was debated by his supervisor.	43
1	[]	0	7	69	The news that no student succeeded in the math class has ever been taken seriously by the principal.	44
1	[]	filler	filler	73	The exhibits that no tourist visited during summer vacation were advertised very poorly.	45
1	[]	2	1	69	No story that the suspect was nervous in the court room has ever been reported.	46
1	[]	filler	filler	69	The senator's opinion that no farm subsidies could stimulate the economy was strongly disputed in the debate.	47
1	[]	filler	filler	69	The firefighter's hunch that no nearby buildings would be safe from the massive fire was communicated to her chief.	48
1	[]	0	18	69	The fact that no diplomats supported the war has ever turned out to be false.	49
1	[]	filler	filler	73	The boat that have took all of the international tourists out for the fishing expedition have new life jackets aboard.	50
1	[]	2	5	69	No confirmation that the nurse showed patience in the operating room has ever been known outside the hospital.	51
1	[]	filler	filler	69	The items that no family member needed were sold at the neighborhood yard sale.	52
1	[]	filler	filler	69	No conservationist's admission that an energy shortage would be caused by the new drilling technique was questioned by the committee.	53
1	[]	filler	filler	69	The actors that plays in recent major films are paid millions of dollars for his talent.	54
1	[]	filler	filler	73	Most parks that the forest rangers have patrolled vigilantly during the summer has had forest fires.	55
1	[]	0	8	69	The allegation that no detergent caused damage to the delicate clothing has ever been debunked.	57
1	[]	filler	filler	73	Most computers that the senior citizens are capable of using correctly have uses outdated technology.	58
1	[]	0	17	69	The belief that no professors wanted any negativity in a class debate has ever been claimed.	59
1	[]	filler	filler	69	The rocky roads that no regular sedan could handle were quite easy to drive on in a large truck.	60
1	[]	filler	filler	73	The rainforests that were the subject of much debate has been unders federal protection.	61
1	[]	2	9	69	No information that the lawyers received criticism for a bad trial has ever been disputed. 	62
1	[]	filler	filler	69	The flight attendant that were aboard the intercontinental flight had no time to sleep before landing.	63
1	[]	filler	filler	69	The beautician's statement that no other salon in town would give a better deal was quite reassuring for his clients.	64
1	[]	filler	filler	69	The computer files that no employee could access were corrupted beyond recovery and had to be deleted.	65
1	[]	2	6	69	No remark that the accountant saw a rise in the quarterly profits has ever been claimed.	66
1	[]	filler	filler	69	No environmentalist's conjecture that the local wildlife would be affected by the oil spill was discussed with the Coast Guard.	67
1	[]	filler	filler	73	The programmer that work for the largest computer server corporation have could many experience in customer service	68
1	[]	filler	filler	69	The apartments that no family wanted to inhabit are rumored to be haunted by a mean ghost.	69
1	[]	filler	filler	69	No farmer's admission that food additives are necessary to preserve freshness was confirmed by the Food Safety Administration.	70
1	[]	0	12	69	The assurance that no teacher sparked any inspiration in the students has ever concerned the parents.	71
1	[]	filler	filler	69	The psychologist's opinion that no individual could succeed without a college education was mentioned in the university brochure.	72
1	[]	filler	filler	69	No conservationist's admission that an energy shortage would be caused by the new drilling technique was questioned by the committee.	73
1	[]	filler	filler	69	No analyst's projection that an increased lending rate would stimulate the economy was communicated to the financial executives.	74
1	[]	2	15	69	No assumption that the ambassadors consulted the diplomats has ever been acknowledged.	75
1	[]	filler	filler	69	The courses that no college student wanted to attend were often taught by inexperienced teaching assistants.	76
1	[]	filler	filler	69	No geologist's premonition that evacuations would be necessary to avoid the volcano's lava flow was relayed to the island town.	77
2	[]	filler	filler	69	This is a simple sentence to get you started.	5
2	[]	filler	filler	69	Remember to keep your fingers on the e and i keys and provide an answer quickly.	6
2	[]	filler	filler	69	The next sentence will start the experiment.	7
2	[]	filler	filler	69	The secretary's intuition that no emails would reach the employees during the system upgrade was revealed in his weekly meeting with the boss.	9
2	[]	2	3	73	No declaration that the comments caused any bitterness toward the media has ever been substantiated.	10
2	[]	filler	filler	69	The apartments that no family wanted to inhabit are rumored to be haunted by a mean ghost.	11
2	[]	filler	filler	73	The students that has good grades often feel that they should had get into a good school.	12
2	[]	filler	filler	69	The horses that no jockey wanted to ride were sold to nearby farms and rented out to trainers.	13
2	[]	filler	filler	73	Most poets that are considered to be extremely famous has written  poems about current events. 	14
2	[]	filler	filler	69	The computer files that no employee could access were corrupted beyond recovery and had to be deleted.	15
2	[]	filler	filler	73	No farmer's admission that food additives are necessary to preserve freshness was confirmed by the Food Safety Administration.	16
2	[]	filler	filler	73	No analyst's projection that an increased lending rate would stimulate the economy was communicated to the financial executives.	18
2	[]	2	0	None	No report that the coach drafted the player has ever made him nervous.	19
2	[]	filler	filler	73	No historian's conjecture that a consensus would emerge on how to ration food fairly was supported by historical data.	20
2	[]	0	14	69	The assertion that no lawyers received criticism for a bad trial has ever been disputed. 	21
2	[]	filler	filler	69	The sailor's judgment that no ship would reach land before the storm was mentioned in the log that she kept daily.	22
2	[]	filler	filler	73	Most computers that the senior citizens are capable of using correctly have uses outdated technology.	23
2	[]	filler	filler	69	The accountant's speculation that no tax cuts would be made in the near future was quite troubling for many small businesses.	24
2	[]	filler	filler	73	The rainforests that were the subject of much debate has been unders federal protection.	25
2	[]	0	18	73	The fact that no diplomats supported the war has ever turned out to be false.	26
2	[]	filler	filler	73	The books that the elementary school board approved for class were ever banned from reading lists nationwide.	27
2	[]	filler	filler	69	The exhibits that no tourist visited during summer vacation were advertised very poorly.	29
2	[]	0	4	73	The disclosure that no teacher sparked any inspiration in the students has ever concerned the parents.	30
2	[]	filler	filler	69	The courses that no college student wanted to attend were often taught by inexperienced teaching assistants.	31
2	[]	filler	filler	69	The items that no family member needed were sold at the neighborhood yard sale.	32
2	[]	2	15	69	No assumption that the ambassadors consulted the diplomats has ever been acknowledged.	33
2	[]	filler	filler	73	The actors that plays in recent major films are paid millions of dollars for his talent.	34
2	[]	filler	filler	73	No conservationist's admission that an energy shortage would be caused by the new drilling technique was questioned by the committee.	35
2	[]	0	1	73	The story that no librarians helped the students has ever made the rounds.	36
2	[]	filler	filler	69	The pilot's estimation that there would be no turbulence during the flight was communicated to her passengers.	37
2	[]	0	7	69	The news that no customers expressed any optimism for a full refund has ever been reported in the newspaper.	39
2	[]	filler	filler	73	No conservationist's admission that an energy shortage would be caused by the new drilling technique was questioned by the committee.	40
2	[]	0	2	69	The admission that no medic rescued the victim has never caused outrage.	41
2	[]	filler	filler	73	The programmer that work for the largest computer server corporation have could many experience in customer service	42
2	[]	filler	filler	69	The psychologist's opinion that no individual could succeed without a college education was mentioned in the university brochure.	43
2	[]	2	9	69	No information that the detergent caused damage to the delicate clothing has ever been debunked.	44
2	[]	filler	filler	69	The lectures that no students wanted to attend were often taught by very boring professors.	45
2	[]	2	19	73	No undefined that the critics recommended the best-selling novel has ever been proven.	46
2	[]	filler	filler	69	The mayor's argument that no local residents would experience noise from the airport was discussed in a city council meeting.	49
2	[]	filler	filler	73	The rocky roads that no regular sedan could handle were quite easy to drive on in a large truck.	50
2	[]	2	5	69	No confirmation that the politician was trusted by the rural communities has ever caused concern.	51
2	[]	filler	filler	73	The boat that have took all of the international tourists out for the fishing expedition have new life jackets aboard.	52
2	[]	filler	filler	69	The flowers that no customer wanted to buy were donated to the nearby funeral home.	53
2	[]	filler	filler	73	The professor's speculation that no practical counter-examples would turn up in the article was justified.	54
2	[]	filler	filler	69	The firefighter's hunch that no nearby buildings would be safe from the massive fire was communicated to her chief.	55
2	[]	2	6	69	No remark that the accountant saw a rise in the quarterly profits has ever been claimed.	56
2	[]	filler	filler	73	The nuclear physicists that were hired to work on the reactor are allowed to knows details about the plant's projects	57
2	[]	filler	filler	69	The secret documents that no spy could find were hidden in an underground vault.	58
2	[]	filler	filler	73	Most parks that the forest rangers have patrolled vigilantly during the summer has had forest fires.	59
2	[]	filler	filler	73	No geologist's premonition that evacuations would be necessary to avoid the volcano's lava flow was relayed to the island town.	60
2	[]	2	10	69	No revelation that the teacher punished the students for cheating has ever been proven true	61
2	[]	filler	filler	73	No blogger's hunch that a main character from the hit show would die next season was given much consideration by the show's producers.	62
2	[]	2	13	69	No realization that the employee was kind to the rude customers has ever been reported to the manager.	63
2	[]	filler	filler	73	No geologist's premonition that evacuations would be necessary to avoid the volcano's lava flow was relayed to the island town.	64
2	[]	filler	filler	69	The secretary's unsettlingly premonition that no raises would be given this year was mentioned to his coworkers during the lunch break.	65
2	[]	2	16	69	No inkling that the actors were hurt in the dangerous stunt has ever been proven to be bogus.	66
2	[]	filler	filler	69	The minivans that no families wanted to purchase were redesigned to be more affordable and attractive.	67
2	[]	filler	filler	69	The statistician's conclusion that no fish stocks in the U.S. would be overfished until 2012 was welcome in the small port town.	68
2	[]	0	17	69	The belief that no student succeeded in the math class has ever been taken seriously by the principal.	69
2	[]	filler	filler	73	The soccer players that could won the tournament were very upset with their coach.	70
2	[]	filler	filler	69	No environmentalist's conjecture that the local wildlife would be affected by the oil spill was discussed with the Coast Guard.	71
2	[]	0	8	69	The allegation that no nurse showed patience in the operating room has ever been known outside the hospital.	72
2	[]	filler	filler	69	The papers that the students wants to write for the introductory course have no errors at all.	73
2	[]	0	11	73	The presumption that no suspect was nervous in the court room has ever been reported.	74
2	[]	filler	filler	69	The nurse's hunch that no abnormalities would be found in the brain scan was debated by his supervisor.	75
2	[]	filler	filler	69	The programmer's opinion that no software would sell without attractive packaging was taken seriously by the retailers.	76
2	[]	0	12	69	The assurance that no professors wanted any negativity in a class debate has ever been claimed.	77
3	[]	filler	filler	69	This is a simple sentence to get you started.	5
3	[]	filler	filler	69	Remember to keep your fingers on the e and i keys and provide an answer quickly.	6
3	[]	filler	filler	69	The next sentence will start the experiment.	7
3	[]	0	19	73	The undefined that no professors wanted any negativity in a class debate has ever been claimed.	8
3	[]	filler	filler	69	The flowers that no customer wanted to buy were donated to the nearby funeral home.	9
3	[]	2	4	73	No disclosure that the teacher sparked any inspiration in the students has ever concerned the parents.	11
3	[]	filler	filler	69	The actors that plays in recent major films are paid millions of dollars for his talent.	12
3	[]	0	11	73	The presumption that no suspect was nervous in the court room has ever been reported.	13
3	[]	filler	filler	69	No geologist's premonition that evacuations would be necessary to avoid the volcano's lava flow was relayed to the island town.	14
3	[]	filler	filler	69	The horses that no jockey wanted to ride were sold to nearby farms and rented out to trainers.	15
3	[]	filler	filler	69	The secretary's unsettlingly premonition that no raises would be given this year was mentioned to his coworkers during the lunch break.	16
3	[]	filler	filler	69	The programmer's opinion that no software would sell without attractive packaging was taken seriously by the retailers.	17
3	[]	2	16	73	No inkling that the medic rescued the victim has never caused outrage.	18
3	[]	filler	filler	69	The secret documents that no spy could find were hidden in an underground vault.	19
3	[]	2	1	69	No story that the student succeeded in the math class has ever been taken seriously by the principal.	21
3	[]	filler	filler	69	The electrician's estimation that no building on the block would need to be rewired was made clear to her boss.	22
3	[]	filler	filler	73	The companies that needs young business often advertise in the magazines that many men enjoys reading.	23
3	[]	filler	filler	69	The beautician's statement that no other salon in town would give a better deal was quite reassuring for his clients.	24
3	[]	filler	filler	73	The programmer that work for the largest computer server corporation have could many experience in customer service	25
3	[]	0	15	73	The assumption that no nurse showed patience in the operating room has ever been known outside the hospital.	27
3	[]	filler	filler	69	The statistician's conclusion that no fish stocks in the U.S. would be overfished until 2012 was welcome in the small port town.	28
3	[]	filler	filler	73	The nuclear physicists that were hired to work on the reactor are allowed to knows details about the plant's projects	30
3	[]	filler	filler	69	No conservationist's admission that an energy shortage would be caused by the new drilling technique was questioned by the committee.	31
3	[]	0	5	69	The confirmation that no teacher punished the students for cheating has ever been proven true	32
3	[]	filler	filler	69	The pilot's estimation that there would be no turbulence during the flight was communicated to her passengers.	33
3	[]	filler	filler	73	The rainforests that were the subject of much debate has been unders federal protection.	34
3	[]	2	3	69	No declaration that the politician was trusted by the rural communities has ever caused concern.	35
3	[]	filler	filler	69	No environmentalist's conjecture that the local wildlife would be affected by the oil spill was discussed with the Coast Guard.	36
3	[]	filler	filler	73	The boat that have took all of the international tourists out for the fishing expedition have new life jackets aboard.	37
3	[]	filler	filler	69	No farmer's admission that food additives are necessary to preserve freshness was confirmed by the Food Safety Administration.	38
3	[]	2	8	69	No allegation that the detergent caused damage to the delicate clothing has ever been debunked.	40
3	[]	filler	filler	69	Most parks that the forest rangers have patrolled vigilantly during the summer has had forest fires.	41
3	[]	filler	filler	69	The accountant's speculation that no tax cuts would be made in the near future was quite troubling for many small businesses.	42
3	[]	0	0	73	The report that no librarians helped the students has ever made the rounds.	43
3	[]	filler	filler	69	The rocky roads that no regular sedan could handle were quite easy to drive on in a large truck.	44
3	[]	filler	filler	69	The psychologist's opinion that no individual could succeed without a college education was mentioned in the university brochure.	46
3	[]	filler	filler	69	The computer files that no employee could access were corrupted beyond recovery and had to be deleted.	47
3	[]	2	10	69	No revelation that the actors were hurt in the dangerous stunt has ever been proven to be bogus.	48
3	[]	filler	filler	69	The professor's speculation that no practical counter-examples would turn up in the article was justified.	49
3	[]	filler	filler	69	The secretary's intuition that no emails would reach the employees during the system upgrade was revealed in his weekly meeting with the boss.	50
3	[]	0	13	73	The realization that no accountant saw a rise in the quarterly profits has ever been claimed.	51
3	[]	filler	filler	73	The students that has good grades often feel that they should had get into a good school.	52
3	[]	filler	filler	69	No blogger's hunch that a main character from the hit show would die next season was given much consideration by the show's producers.	53
3	[]	2	6	73	No remark that the coach drafted the player has ever made him nervous.	54
3	[]	filler	filler	69	The senator's opinion that no farm subsidies could stimulate the economy was strongly disputed in the debate.	55
3	[]	0	7	69	The news that no ambassadors consulted the diplomats has ever been acknowledged.	56
3	[]	filler	filler	73	Most computers that the senior citizens are capable of using correctly have uses outdated technology.	57
3	[]	filler	filler	69	The lectures that no students wanted to attend were often taught by very boring professors.	58
3	[]	filler	filler	73	Most poets that are considered to be extremely famous has written  poems about current events. 	59
3	[]	filler	filler	69	No conservationist's admission that an energy shortage would be caused by the new drilling technique was questioned by the committee.	60
3	[]	filler	filler	None	No historian's conjecture that a consensus would emerge on how to ration food fairly was supported by historical data.	61
3	[]	filler	filler	73	The soccer players that could won the tournament were very upset with their coach.	62
3	[]	0	17	73	The belief that no lawyers received criticism for a bad trial has ever been disputed. 	63
3	[]	filler	filler	73	The books that the elementary school board approved for class were ever banned from reading lists nationwide.	64
3	[]	2	12	73	No assurance that the customers expressed any optimism for a full refund has ever been reported in the newspaper.	65
3	[]	filler	filler	73	The items that no family member needed were sold at the neighborhood yard sale.	66
3	[]	2	14	69	No assertion that the critics recommended the best-selling novel has ever been proven.	67
3	[]	filler	filler	69	No analyst's projection that an increased lending rate would stimulate the economy was communicated to the financial executives.	68
3	[]	filler	filler	69	The firefighter's hunch that no nearby buildings would be safe from the massive fire was communicated to her chief.	69
3	[]	2	18	69	No fact that the diplomats supported the war has ever turned out to be false.	71
3	[]	filler	filler	73	The papers that the students wants to write for the introductory course have no errors at all.	72
3	[]	filler	filler	69	The nurse's hunch that no abnormalities would be found in the brain scan was debated by his supervisor.	73
3	[]	0	9	73	The information that no comments caused any bitterness toward the media has ever been substantiated.	74
3	[]	filler	filler	69	The mayor's argument that no local residents would experience noise from the airport was discussed in a city council meeting.	77
4	[]	filler	filler	69	This is a simple sentence to get you started.	5
4	[]	filler	filler	69	Remember to keep your fingers on the e and i keys and provide an answer quickly.	6
4	[]	filler	filler	73	The rainforests that were the subject of much debate has been unders federal protection.	8
4	[]	filler	filler	69	The accountant's speculation that no tax cuts would be made in the near future was quite troubling for many small businesses.	9
4	[]	filler	filler	73	The nuclear physicists that were hired to work on the reactor are allowed to knows details about the plant's projects	10
4	[]	filler	filler	69	The programmer's opinion that no software would sell without attractive packaging was taken seriously by the retailers.	11
4	[]	filler	filler	69	The exhibits that no tourist visited during summer vacation were advertised very poorly.	15
4	[]	2	18	73	No fact that the critics recommended the best-selling novel has ever been proven.	16
4	[]	filler	filler	69	No environmentalist's conjecture that the local wildlife would be affected by the oil spill was discussed with the Coast Guard.	17
4	[]	filler	filler	73	The computer files that no employee could access were corrupted beyond recovery and had to be deleted.	18
4	[]	2	8	73	No allegation that the professors wanted any negativity in a class debate has ever been claimed.	19
4	[]	filler	filler	69	No historian's conjecture that a consensus would emerge on how to ration food fairly was supported by historical data.	20
4	[]	filler	filler	73	Most parks that the forest rangers have patrolled vigilantly during the summer has had forest fires.	21
4	[]	2	16	69	No inkling that the politician was trusted by the rural communities has ever caused concern.	22
4	[]	filler	filler	69	The psychologist's opinion that no individual could succeed without a college education was mentioned in the university brochure.	23
4	[]	filler	filler	73	The students that has good grades often feel that they should had get into a good school.	26
4	[]	filler	filler	69	No conservationist's admission that an energy shortage would be caused by the new drilling technique was questioned by the committee.	27
4	[]	2	2	69	No admission that the medic rescued the victim has never caused outrage.	29
4	[]	filler	filler	69	The secret documents that no spy could find were hidden in an underground vault.	30
4	[]	0	5	69	The confirmation that no comments caused any bitterness toward the media has ever been substantiated.	32
4	[]	filler	filler	69	The beautician's statement that no other salon in town would give a better deal was quite reassuring for his clients.	33
4	[]	filler	filler	69	No analyst's projection that an increased lending rate would stimulate the economy was communicated to the financial executives.	34
4	[]	0	6	69	The remark that no actors were hurt in the dangerous stunt has ever been proven to be bogus.	35
4	[]	filler	filler	69	The senator's opinion that no farm subsidies could stimulate the economy was strongly disputed in the debate.	36
4	[]	2	10	69	No revelation that the student succeeded in the math class has ever been taken seriously by the principal.	37
4	[]	filler	filler	69	The mayor's argument that no local residents would experience noise from the airport was discussed in a city council meeting.	38
4	[]	filler	filler	69	No geologist's premonition that evacuations would be necessary to avoid the volcano's lava flow was relayed to the island town.	39
4	[]	2	7	69	No news that the employee was kind to the rude customers has ever been reported to the manager.	40
4	[]	filler	filler	69	The electrician's estimation that no building on the block would need to be rewired was made clear to her boss.	41
4	[]	filler	filler	69	The apartments that no family wanted to inhabit are rumored to be haunted by a mean ghost.	42
4	[]	filler	filler	69	The astronomer's contention that no telescope would have enough power to capture the distant galaxy was debated at the national space conference.	43
4	[]	2	0	73	No report that the coach drafted the player has ever made him nervous.	44
4	[]	filler	filler	69	The pilot's estimation that there would be no turbulence during the flight was communicated to her passengers.	46
4	[]	filler	filler	69	The horses that no jockey wanted to ride were sold to nearby farms and rented out to trainers.	47
4	[]	0	13	69	The realization that no teacher sparked any inspiration in the students has ever concerned the parents.	48
4	[]	filler	filler	73	The firefighter's hunch that no nearby buildings would be safe from the massive fire was communicated to her chief.	49
4	[]	filler	filler	69	No geologist's premonition that evacuations would be necessary to avoid the volcano's lava flow was relayed to the island town.	50
4	[]	filler	filler	69	The nurse's hunch that no abnormalities would be found in the brain scan was debated by his supervisor.	52
4	[]	2	4	69	No disclosure that the nurse showed patience in the operating room has ever been known outside the hospital.	53
4	[]	filler	filler	73	The flight attendant that were aboard the intercontinental flight had no time to sleep before landing.	54
4	[]	filler	filler	69	The lectures that no students wanted to attend were often taught by very boring professors.	55
4	[]	2	15	73	No assumption that the librarians helped the students has ever made the rounds.	56
4	[]	filler	filler	73	The soccer players that could won the tournament were very upset with their coach.	57
4	[]	filler	filler	73	The rocky roads that no regular sedan could handle were quite easy to drive on in a large truck.	58
4	[]	0	11	None	The presumption that no diplomats supported the war has ever turned out to be false.	59
4	[]	filler	filler	73	No conservationist's admission that an energy shortage would be caused by the new drilling technique was questioned by the committee.	60
4	[]	filler	filler	69	The secretary's unsettlingly premonition that no raises would be given this year was mentioned to his coworkers during the lunch break.	62
4	[]	0	1	73	The story that no ambassadors consulted the diplomats has ever been acknowledged.	63
4	[]	filler	filler	69	No blogger's hunch that a main character from the hit show would die next season was given much consideration by the show's producers.	64
4	[]	filler	filler	69	The statistician's conclusion that no fish stocks in the U.S. would be overfished until 2012 was welcome in the small port town.	65
4	[]	0	19	73	The undefined that no lawyers received criticism for a bad trial has ever been disputed. 	66
4	[]	filler	filler	69	No farmer's admission that food additives are necessary to preserve freshness was confirmed by the Food Safety Administration.	67
4	[]	0	14	69	The assertion that no teacher punished the students for cheating has ever been proven true	68
4	[]	filler	filler	69	The flowers that no customer wanted to buy were donated to the nearby funeral home.	69
4	[]	filler	filler	69	The professor's speculation that no practical counter-examples would turn up in the article was justified.	70
4	[]	2	12	73	No assurance that the detergent caused damage to the delicate clothing has ever been debunked.	71
4	[]	filler	filler	73	The actors that plays in recent major films are paid millions of dollars for his talent.	72
4	[]	filler	filler	73	The companies that needs young business often advertise in the magazines that many men enjoys reading.	73
4	[]	filler	filler	69	The courses that no college student wanted to attend were often taught by inexperienced teaching assistants.	74
4	[]	0	9	69	The information that no suspect was nervous in the court room has ever been reported.	75
4	[]	filler	filler	69	The secretary's intuition that no emails would reach the employees during the system upgrade was revealed in his weekly meeting with the boss.	77
5	[]	filler	filler	69	This is a simple sentence to get you started.	5
5	[]	filler	filler	69	Remember to keep your fingers on the e and i keys and provide an answer quickly.	6
5	[]	filler	filler	69	The next sentence will start the experiment.	7
5	[]	filler	filler	69	The lectures that no students wanted to attend were often taught by very boring professors.	8
5	[]	2	16	73	No inkling that the coach drafted the player has ever made him nervous.	9
5	[]	filler	filler	69	The psychologist's opinion that no individual could succeed without a college education was mentioned in the university brochure.	10
5	[]	filler	filler	73	No environmentalist's conjecture that the local wildlife would be affected by the oil spill was discussed with the Coast Guard.	11
5	[]	filler	filler	73	The books that the elementary school board approved for class were ever banned from reading lists nationwide.	12
5	[]	0	17	73	The belief that no employee was kind to the rude customers has ever been reported to the manager.	13
5	[]	filler	filler	69	The astronomer's contention that no telescope would have enough power to capture the distant galaxy was debated at the national space conference.	14
5	[]	0	8	73	The allegation that no accountant saw a rise in the quarterly profits has ever been claimed.	17
5	[]	filler	filler	69	The mayor's argument that no local residents would experience noise from the airport was discussed in a city council meeting.	18
5	[]	filler	filler	69	The secret documents that no spy could find were hidden in an underground vault.	19
5	[]	filler	filler	69	The rocky roads that no regular sedan could handle were quite easy to drive on in a large truck.	22
5	[]	filler	filler	69	The programmer's opinion that no software would sell without attractive packaging was taken seriously by the retailers.	23
5	[]	2	6	69	No remark that the professors wanted any negativity in a class debate has ever been claimed.	24
5	[]	filler	filler	69	The statistician's conclusion that no fish stocks in the U.S. would be overfished until 2012 was welcome in the small port town.	25
5	[]	0	13	73	The realization that no nurse showed patience in the operating room has ever been known outside the hospital.	26
5	[]	filler	filler	73	Most parks that the forest rangers have patrolled vigilantly during the summer has had forest fires.	27
